condition,message
H_total > Pavilion_Height,"警告：超出棚高"
N_row > 15,"推荐：加装滑轨模块"
W_total > 4.2,"推荐：双侧进苗"
Ventilation_Requirement == 'Strong',"推荐：双风道"
N_layer >= 6,"推荐：横梁类型 = 加强型"
H_total > Pavilion_Height,"警告：高度超限"
W_tray * N_col > Venue_Max_Width,"警告：降低列数或间距"
Ventilation_Requirement == 'Strong',"推荐：风道类型 = 双侧"
Ventilation_Requirement == 'Low',"推荐：风道类型 = 左侧风道"
Ventilation_Requirement == 'Medium',"推荐：风道类型 = 单侧风道"
N_row >= 15,"推荐：滑轨 = 加强型"
Entry_Direction == 'Double Side',"推荐：风道布置 = 顶出式或内嵌式风道"
N_col == 6,"推荐：使用双层左右限位结构"
Beam_Type == '加强型',"推荐：模板 = CATIA_Beam_Strong.CATPart"
Vent_Layout == 'double-sided',"推荐：调用 SD-L 风道模块"
H_total > 4000,"推荐：附加稳定支撑柱"
H_total > Pavilion_Height,"警告：架体高度超限，建议减层"
Beam_Type == '加强型' and L_tray > 600,"推荐：横梁间距 = 1000mm"
W_gap <= 1000 and H_total <= 2.8,"推荐：风道布置 = 左通风"
N_row > 18 and W_gap < 900,"警告：跨度过小"
Slide_Type == '无' and N_layer > 7,"提示：建议添加滑轨限位"
H_total > Pavilion_Height and N_layer > 6,"推荐：使用压缩型托盘"
L_tray > 600,"警告：横梁间距需减小，推荐≤1000 mm"
Beam_Type == '加强型' and L_tray > 600,"推荐：横梁间距 = 950 mm"
W_gap <= 1000 and N_row == 15,"推荐：横向滑轨 = 加装式"
Pavilion_Height < 3200 and N_layer == 8,"警告：空间偏紧"
使用场所 == '玻璃温室',"推荐：不锈钢横梁 + 透明顶风道"
管理方式 == '手动',"不推荐使用滑轨；增加托盘留手孔"
作业周期 == '高频',"推荐：可拆卸模块化结构，缩短更换时间"
空间布局 == '单通道',"推荐：单侧进苗方向，避免风道与进苗冲突"
环境等级 == '高腐蚀',"推荐：防腐蚀涂层或不锈钢部件"
